Source,Target,Type,Weight
1,62,Directed,1
1,63,Directed,1
2,62,Directed,1
2,63,Directed,1
3,62,Directed,1
3,63,Directed,1
4,64,Directed,1
4,63,Directed,1
5,62,Directed,1
5,63,Directed,1
6,62,Directed,1
6,63,Directed,1
7,64,Directed,1
7,65,Directed,1
8,62,Directed,1
8,62,Directed,1
9,62,Directed,1
9,66,Directed,1
10,67,Directed,1
10,66,Directed,1
11,62,Directed,1
11,68,Directed,1
12,62,Directed,1
12,66,Directed,1
13,69,Directed,1
13,67,Directed,1
14,67,Directed,1
14,70,Directed,1
15,71,Directed,1
15,69,Directed,1
16,62,Directed,1
16,67,Directed,1
17,62,Directed,1
17,63,Directed,1
18,72,Directed,1
18,66,Directed,1
19,64,Directed,1
19,67,Directed,1
20,62,Directed,1
20,67,Directed,1
21,62,Directed,1
21,67,Directed,1
22,63,Directed,1
22,73,Directed,1
23,62,Directed,1
23,67,Directed,1
24,64,Directed,1
24,68,Directed,1
25,62,Directed,1
25,67,Directed,1
26,62,Directed,1
26,67,Directed,1
27,69,Directed,1
27,66,Directed,1
28,68,Directed,1
28,66,Directed,1
29,66,Directed,1
29,72,Directed,1
30,64,Directed,1
30,66,Directed,1
31,64,Directed,1
31,65,Directed,1
32,64,Directed,1
32,65,Directed,1
33,62,Directed,1
33,67,Directed,1
34,62,Directed,1
34,67,Directed,1
35,64,Directed,1
35,65,Directed,1
36,64,Directed,1
36,68,Directed,1
37,64,Directed,1
37,67,Directed,1
38,64,Directed,1
38,68,Directed,1
39,62,Directed,1
39,68,Directed,1
40,64,Directed,1
40,68,Directed,1
41,62,Directed,1
41,65,Directed,1
42,72,Directed,1
42,66,Directed,1
43,66,Directed,1
43,68,Directed,1
44,72,Directed,1
44,66,Directed,1
45,72,Directed,1
45,67,Directed,1
46,73,Directed,1
46,71,Directed,1
47,69,Directed,1
47,65,Directed,1
48,72,Directed,1
48,67,Directed,1
49,62,Directed,1
49,70,Directed,1
50,65,Directed,1
50,64,Directed,1
51,62,Directed,1
51,71,Directed,1
52,62,Directed,1
52,71,Directed,1
53,67,Directed,1
53,71,Directed,1
54,67,Directed,1
54,71,Directed,1
55,64,Directed,1
55,65,Directed,1
56,73,Directed,1
56,65,Directed,1
57,63,Directed,1
57,67,Directed,1
58,63,Directed,1
58,67,Directed,1
59,62,Directed,1
59,67,Directed,1
60,69,Directed,1
60,68,Directed,1
61,71,Directed,1
61,73,Directed,1
