Label,ID,Nodes
6789_45,1,1
6789_44v,2,2
6789_44,3,3
6789_43,4,4
6789_42,5,5
6789_41,6,6
6789_103,7,7
6788_67v,8,8
6787_566v,9,9
6787_566,10,10
6786_472,11,11
6786_453v,12,12
6786_436,13,13
6786_349,14,14
6785_436,15,15
6785_340,16,16
6785_310v,17,17
6785_191,18,18
6785_190v,19,19
6785_190,20,20
6784_430,21,21
6784_429,22,22
6784_428v,23,23
6784_428,24,24
6784_40v,25,25
6784_40,26,26
6784_364,27,27
6784_363,28,28
6784_362,29,29
6784_361,30,30
6784_360,31,31
6784_359,32,32
6784_248,33,33
6784_247,34,34
6784_246,35,35
6784_129,36,36
6783_128,37,37
6783_127,38,38
6783_126v,39,39
6783_126,40,40
6783_125,41,41
6783_124,42,42
6783_123,43,43
6783_122,44,44
6782_375,45,45
6782_374v,46,46
6782_374,47,47
6782_373,48,48
6782_372,49,49
6782_371v,50,50
6782_371,51,51
6782_370v,52,52
6782_370,53,53
6782_369,54,54
6782_368,55,55
6782_367,56,56
6782_366,57,57
6782_365,58,58
6782_364,59,59
6782_363,60,60
6782_362,61,61
,62,62
Mechanics/Motion,63,63
Calculation/Logistic,64,64
Achilles,65,65
Viète's Theorem,66,66
Geometrical puzzle,67,67
Infinite series,68,68
Infinite arithmetic,69,69
Title page,70,70
Continuum,71,71
Demonstration/Proof,72,72
Aristotle,73,73
